iter	Logloss
0	0.6255379685
1	0.565538795
2	0.5153473676
3	0.4722803185
4	0.4325970421
5	0.3988429599
6	0.3679623418
7	0.341687053
8	0.3172863526
9	0.2968859284
10	0.2803665422
11	0.2635577967
12	0.2505652201
13	0.2380095327
14	0.2267241532
15	0.2169383766
16	0.2089298104
17	0.2007855254
18	0.1926396836
19	0.1862475685
20	0.1809059789
21	0.1756132993
22	0.1705797281
23	0.1665125575
24	0.1624845745
25	0.1593365704
26	0.1563159513
27	0.1535509717
28	0.1504532928
29	0.1481899219
30	0.1457868155
31	0.1436110797
32	0.1418735858
33	0.140328555
34	0.1385640811
35	0.1371222141
36	0.1356038475
37	0.1346325868
38	0.1332642416
39	0.1321794782
40	0.1311685977
41	0.1300276088
42	0.1290507921
43	0.1281943381
44	0.1274208096
45	0.1264678314
46	0.1256324344
47	0.124873359
48	0.1240944076
49	0.1234809178
50	0.1229240542
51	0.1222525422
52	0.1216937419
53	0.1211165734
54	0.1206628001
55	0.1202227159
56	0.1195319674
57	0.1191183799
58	0.1186277693
59	0.1181404946
60	0.1176519555
61	0.1172305529
62	0.1169870997
63	0.1166685548
64	0.1162965544
65	0.1158124616
66	0.1154583872
67	0.1150969779
68	0.1148060788
69	0.1145759119
70	0.1142250955
71	0.1139158779
72	0.1136405989
73	0.1134520427
74	0.1131897416
75	0.1128435727
76	0.1125337271
77	0.1122480173
78	0.1119636411
79	0.1116549133
80	0.1113638993
81	0.1110838196
82	0.1108097234
83	0.1105609424
84	0.1102984315
85	0.1100424877
86	0.1097638253
87	0.1094835069
88	0.1091761145
89	0.1089364047
90	0.1088012366
91	0.1086289466
92	0.1083804297
93	0.1081526811
94	0.1079709367
95	0.1077466895
96	0.1075911284
97	0.1074031768
98	0.1071353688
99	0.1069498545
100	0.1067739045
101	0.1065515642
102	0.1063787738
103	0.1061525922
104	0.1059092595
105	0.1056352658
106	0.1053731439
107	0.1051491568
108	0.1048859407
109	0.1046734023
110	0.1044117851
111	0.1042166134
112	0.1039609818
113	0.1038084105
114	0.1035698481
115	0.1034233462
116	0.1032491491
117	0.1030828481
118	0.1029133221
119	0.1027323402
120	0.1025293713
121	0.1023457414
122	0.1022051782
123	0.1020812438
124	0.1019059107
125	0.1016787908
126	0.1015053398
127	0.1013387783
128	0.101194318
129	0.1010387419
130	0.100916477
131	0.1007710626
132	0.1006355878
133	0.1004978366
134	0.1003228633
135	0.100109266
136	0.09998307062
137	0.09982869951
138	0.09964920845
139	0.09946934929
140	0.09933994677
141	0.0992071262
142	0.0990576458
143	0.09890415517
144	0.09873953428
145	0.09856935136
146	0.09841581598
147	0.09830805349
148	0.09813177902
149	0.09800640937
150	0.09788595011
151	0.09775929335
152	0.0975441793
153	0.09739557972
154	0.0972759499
155	0.09709378399
156	0.09696534592
157	0.09685242861
158	0.09672211611
159	0.0965894268
160	0.09641294412
161	0.0962641554
162	0.09612344151
163	0.0959861865
164	0.09590033123
165	0.09577143419
166	0.09559795524
167	0.0954480558
168	0.0952996327
169	0.09518536761
170	0.0950836294
171	0.09498875734
172	0.09485298616
173	0.09471626566
174	0.0945505262
175	0.09441873808
176	0.09433881997
177	0.09419785784
178	0.09408859737
179	0.09401819514
180	0.09390717158
181	0.09376123319
182	0.09363447229
183	0.09354194016
184	0.09342356681
185	0.09331915468
186	0.09315461798
187	0.09303987474
188	0.0929515286
189	0.09286179474
190	0.0927697438
191	0.09269307825
192	0.09258553155
193	0.09243407943
194	0.09231201559
195	0.09216257487
196	0.0920876777
197	0.09194283637
198	0.09181647172
199	0.0917154927
200	0.09160358868
201	0.09144244209
202	0.09136147903
203	0.09119800854
204	0.09110861099
205	0.09097395806
206	0.09086303248
207	0.09075617817
208	0.09063018065
209	0.09051598954
210	0.09040036756
211	0.09026954527
212	0.09018074134
213	0.09005880781
214	0.08993250353
215	0.08984780203
216	0.08970426191
217	0.08961592717
218	0.0894505948
219	0.0893296844
220	0.08923214502
221	0.08911270447
222	0.08900974664
223	0.08888249025
224	0.08876325274
225	0.0886633243
226	0.08860050829
227	0.08846791193
228	0.08832662729
229	0.08823238315
230	0.08810515373
231	0.08803666988
232	0.08792249261
233	0.08780904614
234	0.08773719159
235	0.08761543061
236	0.08749651502
237	0.08737573237
238	0.08727676348
239	0.08721785061
240	0.08708618372
241	0.08695581135
242	0.08685420398
243	0.08678325283
244	0.08666223178
245	0.08659750346
246	0.08652940567
247	0.08643997794
248	0.08631425055
249	0.08626239594
250	0.08617227922
251	0.08606228308
252	0.08599852355
253	0.08584219298
254	0.08575962359
255	0.08561531247
256	0.08557498966
257	0.08546865628
258	0.08538613953
259	0.0852778192
260	0.08517160204
261	0.08506468788
262	0.08494881437
263	0.08486165886
264	0.08479833764
265	0.08468830481
266	0.08459676779
267	0.0844827946
268	0.08440443725
269	0.08434143168
270	0.08426688667
271	0.08412998548
272	0.08402372048
273	0.08393773658
274	0.08387036084
275	0.08381010352
276	0.08374163252
277	0.08364420507
278	0.08357700218
279	0.08345987764
280	0.08333350478
281	0.08322093786
282	0.08307006264
283	0.08298433543
284	0.08287608884
285	0.08281802582
286	0.08275653693
287	0.08262834054
288	0.08253197906
289	0.08247425358
290	0.08238318767
291	0.08227887986
292	0.0822052086
293	0.08208588266
294	0.08199755982
295	0.08192301639
296	0.08187508188
297	0.08177029372
298	0.08168058585
299	0.08163022505
