variante,n_variables,n_rows,n_positives,prevalence,pr_auc,lift_vs_azar,roc_auc,recall_at_fpr5,recall_ci90_low,recall_ci90_high,threshold_at_fpr,fpr_achieved,recall_at_top1%_daily,recall_at_top1%_daily_ci90_low,recall_at_top1%_daily_ci90_high,brier_score,roc_auc_dentro_del_dia
sin vecindad,61,10804365,1659,0.0001535490517027146,0.0016588689254274185,10.80351136677252,0.8716913775309006,0.39059674502712477,0.37188065099457507,0.41229656419529837,0.014363412745296955,0.04999997222918035,0.07474382157926461,0.0650994575045208,0.0861965039180229,0.00015338906113055565,0.7507376638106983
con vecindad,69,10804365,1659,0.0001535490517027146,0.0023028265245710177,14.99733472160744,0.8872046724307074,0.4472573839662447,0.42793851717902354,0.46835443037974683,0.01585840992629528,0.04999997222918035,0.09282700421940929,0.081374321880651,0.10608800482218204,0.00015334023901927144,0.7856266953169123
