variable,media_detectadas,media_perdidas,diferencia
temperature_max_12_18h,24.2257137298584,22.518205642700195,1.7075080871582031
relative_humidity_min_12_18h,46.18867492675781,52.068241119384766,-5.879566192626953
wind_speed_max_12_18h,12.231677055358887,13.652421951293945,-1.4207448959350586
precipitation_sum,0.3973430395126343,1.3719910383224487,-0.9746479988098145
consecutive_dry_days,10.546621322631836,5.409795761108398,5.1368255615234375
elevation_mean,433.55328369140625,471.9214782714844,-38.368194580078125
scrub,0.2234431356191635,0.28104034066200256,-0.05759720504283905
road_length_km,5.482898712158203,4.289150238037109,1.1937484741210938
burned_area_ha,13.25117301940918,41.63597869873047,-28.38480567932129
mes,6.187004754358162,6.136186770428016,0.050817983930145694
