metrica,modelo_a,modelo_b,n_incendios,recall_a,recall_b,diferencia,dif_ci90_low,dif_ci90_high,concluyente,ambos,ninguno,mcnemar_p,veredicto,solo_a,solo_b
recall@fpr5,lightgbm,logistic_regression,1659,0.39662447257383965,0.30982519590114527,0.08679927667269438,0.06928872814948764,0.10370705244122963,True,424,911,6.409135544349642e-16,lightgbm mejor,234,90
recall@fpr5,lightgbm,random_forest,1659,0.39662447257383965,0.3399638336347197,0.056660638939119934,0.03857745629897524,0.07537673297166969,True,427,864,1.0977535996672509e-06,lightgbm mejor,231,137
recall@fpr5,xgboost,logistic_regression,1659,0.3574442435201929,0.30982519590114527,0.047619047619047616,0.02652200120554554,0.0675406871609403,True,338,890,0.00016537320331605387,xgboost mejor,255,176
recall@fpr5,lightgbm,xgboost,1659,0.39662447257383965,0.3574442435201929,0.039180229053646765,0.02230259192284506,0.05548523206751055,True,478,886,0.00018400408927464934,lightgbm mejor,180,115
recall@fpr5,random_forest,logistic_regression,1659,0.3399638336347197,0.30982519590114527,0.030138637733574447,0.008438818565400852,0.05003013863773359,True,318,899,0.019666639542513072,random_forest mejor,246,196
recall@fpr5,xgboost,random_forest,1659,0.3574442435201929,0.3399638336347197,0.01748040988547317,-0.003013863773357439,0.03978300180831823,False,360,862,0.18036759897269838,no concluyente,233,204
recall@fpr5,lightgbm,definitivo,1659,0.39662447257383965,0.39662447257383965,0.0,0.0,0.0,False,658,1001,1.0,no concluyente,0,0
recall@fpr5,xgboost,definitivo,1659,0.3574442435201929,0.39662447257383965,-0.039180229053646765,-0.055485232067510576,-0.02230259192284506,True,478,886,0.00018400408927464934,definitivo mejor,115,180
recall@fpr5,random_forest,definitivo,1659,0.3399638336347197,0.39662447257383965,-0.056660638939119934,-0.07537673297166972,-0.03857745629897524,True,427,864,1.0977535996672509e-06,definitivo mejor,137,231
recall@fpr5,logistic_regression,definitivo,1659,0.30982519590114527,0.39662447257383965,-0.08679927667269438,-0.10370705244122966,-0.06928872814948767,True,424,911,6.409135544349642e-16,definitivo mejor,90,234
recall@top1%/día,lightgbm,logistic_regression,1659,0.07655213984327909,0.039783001808318265,0.036769138034960826,0.024080771549125975,0.050632911392405056,True,19,1485,1.0593341908479057e-06,lightgbm mejor,108,47
recall@top1%/día,xgboost,logistic_regression,1659,0.07112718505123568,0.039783001808318265,0.03134418324291741,0.01808318264014467,0.044002411091018684,True,10,1485,5.9798502814152774e-05,xgboost mejor,108,56
recall@top1%/día,random_forest,logistic_regression,1659,0.07112718505123568,0.039783001808318265,0.03134418324291741,0.019288728149487643,0.0433996383363472,True,18,1493,2.3050905334557482e-05,random_forest mejor,100,48
recall@top1%/día,lightgbm,xgboost,1659,0.07655213984327909,0.07112718505123568,0.005424954792043413,-0.0054249547920434,0.01687763713080169,False,62,1476,0.46720710207696564,no concluyente,65,56
recall@top1%/día,lightgbm,random_forest,1659,0.07655213984327909,0.07112718505123568,0.005424954792043413,-0.006630500301386372,0.01687763713080169,False,57,1471,0.48472021812853044,no concluyente,70,61
recall@top1%/día,lightgbm,definitivo,1659,0.07655213984327909,0.07655213984327909,0.0,0.0,0.0,False,127,1532,1.0,no concluyente,0,0
recall@top1%/día,xgboost,random_forest,1659,0.07112718505123568,0.07112718505123568,0.0,-0.012055455093429784,0.010849909584086798,False,48,1471,1.0,no concluyente,70,70
recall@top1%/día,xgboost,definitivo,1659,0.07112718505123568,0.07655213984327909,-0.005424954792043413,-0.01687763713080169,0.0054249547920434,False,62,1476,0.46720710207696564,no concluyente,56,65
recall@top1%/día,random_forest,definitivo,1659,0.07112718505123568,0.07655213984327909,-0.005424954792043413,-0.01687763713080169,0.006630500301386372,False,57,1471,0.48472021812853044,no concluyente,61,70
recall@top1%/día,logistic_regression,definitivo,1659,0.039783001808318265,0.07655213984327909,-0.036769138034960826,-0.050632911392405056,-0.024080771549126002,True,19,1485,1.0593341908479057e-06,definitivo mejor,47,108
