modelo,pr_auc,roc_auc,recall_at_fpr5,brier_score
Regresión Logística (L2),2.7196414916061363e-05,0.7784014547716142,0.16666666666666666,0.13589998862351377
Random Forest,3.08479505962517e-05,0.8281943850798513,0.21568627450980393,0.019935619775797834
XGBoost Classifier,4.9005214006887186e-05,0.8296721077852421,0.27450980392156865,0.000663518498186022
LightGBM Classifier,7.142644425007572e-05,0.8376633364282752,0.3235294117647059,0.0009655830333567429
