semilla,n_rows,n_positives,prevalence,pr_auc,lift_vs_azar,roc_auc,recall_at_fpr5,recall_ci90_low,recall_ci90_high,threshold_at_fpr,fpr_achieved,recall_at_top1%_daily,recall_at_top1%_daily_ci90_low,recall_at_top1%_daily_ci90_high,brier_score,roc_auc_temporada,roc_auc_dentro_del_dia
42,10804365,1659,0.0001535490517027146,0.001405596826244224,9.15405735598805,0.8634154962566567,0.38034960819770947,0.3616636528028933,0.4008438818565401,0.05005401000380516,0.04999997222918035,0.06690777576853527,0.056660638939119955,0.07715491259795057,,0.7964213184942761,0.7351214298954875
7,10804365,1659,0.0001535490517027146,0.0012627326155777,8.223643204403952,0.8644178060414884,0.3881856540084388,0.3676913803496082,0.408710066305003,0.04771406948566437,0.04999997222918035,0.06931886678722121,0.05786618444846293,0.07956600361663653,,0.7996020666413347,0.7337455163906158
123,10804365,1659,0.0001535490517027146,0.0011715818232196128,7.630016663912099,0.8679830794425847,0.38517179023508136,0.36528028933092227,0.40509342977697405,0.048284292221069336,0.04999997222918035,0.06871609403254973,0.05786618444846293,0.07956600361663653,,0.8037093565496224,0.7443195218243677
2024,10804365,1659,0.0001535490517027146,0.0011538137521682422,7.514300735651133,0.8641297154253179,0.37371910789632307,0.3550331525015069,0.3936106088004822,0.04888089746236801,0.04999997222918035,0.056660638939119955,0.047619047619047616,0.06630500301386377,,0.800592902716018,0.743750926038993
31,10804365,1659,0.0001535490517027146,0.001173277083492515,7.641057176726104,0.8639858596222483,0.379746835443038,0.35985533453887886,0.3996383363471971,0.04686784744262695,0.04999997222918035,0.062085593731163354,0.05244122965641953,0.07176009644364072,,0.7950325411396566,0.7317725443574992
