modelo,pr_auc,roc_auc,recall_at_fpr5,brier_score
LightGBM Standard,6.678576131981203e-05,0.7568121128747919,0.25742574257425743,0.0005427861866742775
LightGBM Cost-Sensitive (20x FN),4.009145573130298e-05,0.7629364468989882,0.16831683168316833,0.02096080200862162
LightGBM + Calibración Isotónica,6.539124409012231e-05,0.7409750532323096,0.2376237623762376,0.0009783447706509494
