modelo,arboles,minutos,n_rows,n_positives,prevalence,pr_auc,lift_vs_azar,roc_auc,recall_at_fpr5,recall_ci90_low,recall_ci90_high,threshold_at_fpr,fpr_achieved,recall_at_top1%_daily,recall_at_top1%_daily_ci90_low,recall_at_top1%_daily_ci90_high,brier_score,roc_auc_temporada,roc_auc_dentro_del_dia
lightgbm,102.0,0.580406121412913,10804365,1659,0.0001535490517027146,0.0014096721773418372,9.180598393216359,0.8659097866589982,0.39662447257383965,0.3767329716696805,0.41711874623267026,0.06510568410158157,0.04999997222918035,0.07655213984327909,0.0650994575045208,0.08740204942736589,,0.8051661910751423,0.7430633192340684
xgboost,95.0,0.3988141020139058,10804365,1659,0.0001535490517027146,0.001101519686077389,7.173731611251072,0.8518541426887296,0.3574442435201929,0.33936106088004825,0.37736588306208557,0.06273594498634338,0.04999987965978154,0.07112718505123568,0.060880048221820374,0.081374321880651,,0.7833722352478224,0.7320797309871253
random_forest,,4.867003432909647,10804365,1659,0.0001535490517027146,0.0011001209820223823,7.164622443597502,0.8361590648133443,0.3399638336347197,0.32127787823990356,0.35804701627486435,0.12999999523162842,0.04581213262676963,0.07112718505123568,0.060880048221820374,0.08197709463532249,,0.7841542106460764,0.6902759136720721
logistic_regression,,0.39067506790161133,10804365,1659,0.0001535490517027146,0.0008657715497265763,5.638403755190827,0.8438333260981334,0.30982519590114527,0.2911392405063291,0.3285111512959614,0.05731304734945297,0.04999997222918035,0.039783001808318265,0.031946955997588906,0.047619047619047616,,0.7726275553777614,0.7011357236317776
