mes,igniciones,detectadas,recall
1,115,57,0.4956521739130435
2,139,65,0.4676258992805755
3,72,2,0.027777777777777776
4,94,19,0.20212765957446807
5,116,29,0.25
6,50,3,0.06
7,428,217,0.5070093457943925
8,491,204,0.4154786150712831
9,122,29,0.23770491803278687
10,29,6,0.20689655172413793
11,1,0,0.0
12,2,0,0.0
