metrica,modelo_a,modelo_b,n_incendios,recall_a,recall_b,diferencia,dif_ci90_low,dif_ci90_high,concluyente,ambos,ninguno,mcnemar_p,veredicto,solo_a,solo_b
recall@fpr5,lightgbm,logistic_regression,1659,0.3936106088004822,0.28270042194092826,0.11091018685955395,0.09101868595539486,0.13022905364677517,True,355,892,4.568120125972015e-20,lightgbm mejor,298,114
recall@fpr5,xgboost,logistic_regression,1659,0.3881856540084388,0.28270042194092826,0.10548523206751054,0.08679927667269438,0.12477396021699816,True,368,914,6.717611437708959e-20,xgboost mejor,276,101
recall@fpr5,lightgbm,random_forest,1659,0.3936106088004822,0.31223628691983124,0.08137432188065097,0.06268836648583487,0.0988547317661242,True,414,902,2.284785984221193e-13,lightgbm mejor,239,104
recall@fpr5,xgboost,random_forest,1659,0.3881856540084388,0.31223628691983124,0.07594936708860756,0.05786618444846292,0.09342977697408072,True,420,917,1.7049700606027619e-12,xgboost mejor,224,98
recall@fpr5,lightgbm,xgboost,1659,0.3936106088004822,0.3881856540084388,0.005424954792043413,-0.005424954792043413,0.016877637130801648,False,583,945,0.48472021812853044,no concluyente,70,61
recall@fpr5,logistic_regression,random_forest,1659,0.28270042194092826,0.31223628691983124,-0.02953586497890298,-0.04822182037371914,-0.011452682338758291,True,317,989,0.010523468826104136,random_forest mejor,152,201
recall@top1%/día,lightgbm,logistic_regression,1659,0.07836045810729356,0.0379746835443038,0.04038577456298976,0.027124773960217,0.053044002411091015,True,14,1480,1.9072175895127705e-07,lightgbm mejor,116,49
recall@top1%/día,xgboost,logistic_regression,1659,0.07172995780590717,0.0379746835443038,0.03375527426160337,0.021097046413502116,0.04520795660036166,True,16,1493,5.597619670017182e-06,xgboost mejor,103,47
recall@top1%/día,lightgbm,random_forest,1659,0.07836045810729356,0.045207956600361664,0.03315250150693189,0.021097046413502102,0.045207956600361664,True,29,1483,6.671865694009476e-06,lightgbm mejor,101,46
recall@top1%/día,xgboost,random_forest,1659,0.07172995780590717,0.045207956600361664,0.026522001205545508,0.015069318866787224,0.03797468354430379,True,30,1495,0.00018013760354172802,xgboost mejor,89,45
recall@top1%/día,lightgbm,xgboost,1659,0.07836045810729356,0.07172995780590717,0.006630500301386386,-0.0018083182640144663,0.015069318866787224,False,88,1498,0.241644723140752,no concluyente,42,31
recall@top1%/día,logistic_regression,random_forest,1659,0.0379746835443038,0.045207956600361664,-0.007233273056057865,-0.01687763713080169,0.0030138637733574396,False,18,1539,0.27601389249250236,no concluyente,45,57
