grupo_retirado,n_variables,recall_at_fpr5,delta
meteorologia,28,0.2591922845087402,-0.13743218806509944
topografia,36,0.37492465340566605,-0.021699819168173595
actividad_humana,41,0.38758288125376733,-0.009041591320072317
cobertura,39,0.39180229053646776,-0.0048221820373718915
(ninguno),48,0.39662447257383965,0.0
