definicion,igniciones,n_rows,n_positives,prevalence,pr_auc,lift_vs_azar,roc_auc,recall_at_fpr5,recall_ci90_low,recall_ci90_high,threshold_at_fpr,fpr_achieved,recall_at_top1%_daily,recall_at_top1%_daily_ci90_low,recall_at_top1%_daily_ci90_high,brier_score,roc_auc_temporada,roc_auc_dentro_del_dia
todas las igniciones,1659,10804365,1659,0.0001535490517027146,0.0014096721773418372,9.180598393216359,0.8659097866589982,0.39662447257383965,0.3767329716696805,0.41711874623267026,0.06510568410158157,0.04999997222918035,0.07655213984327909,0.0650994575045208,0.08740204942736589,,0.8051661910751423,0.7430633192340684
superficie ≥ 1 ha,351,10803057,351,3.249080329762215e-05,0.0003689390050510645,11.355182624187854,0.8659173576812729,0.3817663817663818,0.3418803418803419,0.42450142450142453,0.06510568410158157,0.04999997222918035,0.06267806267806268,0.042735042735042736,0.08262108262108261,,0.7928881811361734,0.6919130840763723
superficie ≥ 10 ha,106,10802812,106,9.812259993046256e-06,7.294485949031831e-05,7.43405286264457,0.870132331169337,0.3584905660377358,0.2830188679245283,0.4339622641509434,0.06510568410158157,0.04999997222918035,0.03773584905660377,0.009433962264150943,0.0660377358490566,,0.782678801330147,0.630563815072752
superficie ≥ 100 ha,29,10802735,29,2.6845053590595345e-06,2.1534907038795375e-05,8.021927378956592,0.8679125013868652,0.27586206896551724,0.13793103448275862,0.41379310344827586,0.06510568410158157,0.04999997222918035,0.034482758620689655,0.0,0.10344827586206896,,0.7519431992435244,0.6076796580680225
grandes incendios (≥500 ha),12,10802718,12,1.1108315518372322e-06,8.204952845538185e-06,7.386315982803881,0.8355060258358724,0.25,0.08333333333333333,0.5,0.06510568410158157,0.04999997222918035,0.0,0.0,0.0,,0.6765380687089921,0.45286023503471906
