modelo,variante,segundos,train_roc_auc,gap_sobreajuste,best_iteration,val_n_rows,val_n_positives,val_prevalence,val_pr_auc,val_lift_vs_azar,val_roc_auc,val_recall_at_fpr5,val_recall_ci90_low,val_recall_ci90_high,val_threshold_at_fpr,val_fpr_achieved,val_recall_at_top1%_daily,val_brier_score,protocolo,train_years,val_year,test_year,hard_fraction,neg_ratio
lightgbm,nowcast,56.5,0.9854747347039118,0.049688158954331985,164,11204405,703,6.27431800260701e-05,0.0010329132824044235,16.462558671320817,0.9357865757495798,0.6799431009957326,0.6500711237553343,0.7083926031294452,0.910415995121002,0.05000008033059073,0.02702702702702703,6.267641964724714e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
xgboost,nowcast,50.0,0.9704140057755075,0.03947200600920542,164,11204405,703,6.27431800260701e-05,0.0007176292870452228,11.43756638963859,0.9309419997663021,0.6756756756756757,0.6486486486486487,0.705547652916074,0.9112481147050853,0.05000008033059073,0.02702702702702703,6.269863922137806e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
logistic_regression,nowcast,57.4,0.9444251285554547,0.006421099790072438,,11204405,703,6.27431800260701e-05,0.0017231681282168206,27.463831567045784,0.9380040287653822,0.7027027027027027,0.6742532005689901,0.732574679943101,0.9893913239240646,0.05000008033059073,0.032716927453769556,6.266276146903362e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
lightgbm,t1,58.8,0.984955288710089,0.051729434321423184,210,11204405,703,6.27431800260701e-05,0.0007843752845358655,12.501363243143775,0.9332258543886658,0.7823613086770982,0.7567567567567568,0.8079658605974396,0.9442347824573516,0.05000008033059073,0.00995732574679943,6.268955525567492e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
xgboost,t1,50.1,0.9639672832106342,0.03510298021349645,184,11204405,703,6.27431800260701e-05,0.0007061883651681726,11.255221123232003,0.9288643029971377,0.6998577524893315,0.6713371266002846,0.7297297297297297,0.9386762291193007,0.05000008033059073,0.02844950213371266,6.269973894338642e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
logistic_regression,t1,56.9,0.9343613769406685,-0.007337412082316641,,11204405,703,6.27431800260701e-05,0.0021533587681023918,34.320204478122726,0.9416987890229851,0.7581792318634424,0.7311522048364154,0.7852062588904695,0.9929354786872864,0.04999990181816689,0.06116642958748222,6.264819146141523e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
