escenario,n_variables,n_rows,n_positives,prevalence,pr_auc,lift_vs_azar,roc_auc,recall_at_fpr5,recall_ci90_low,recall_ci90_high,threshold_at_fpr,fpr_achieved,recall_at_top1%_daily,recall_at_top1%_daily_ci90_low,recall_at_top1%_daily_ci90_high,brier_score,roc_auc_temporada,roc_auc_dentro_del_dia,caida_recall
completa (incluye el día T),50,10804365,1659,0.0001535490517027146,0.0014612806415876059,9.516702482909388,0.8644367271652283,0.39119951778179624,0.37130801687763715,0.4104882459312839,0.055957894772291183,0.04999987965978154,0.08016877637130802,0.06871609403254973,0.09041591320072333,,0.8002518597708393,0.7400375895249185,0.005424954792043413
amplia,40,10804365,1659,0.0001535490517027146,0.0012095568883676653,7.877332194206456,0.8378868059911513,0.3622664255575648,0.3423749246534057,0.38034960819770947,0.06158260628581047,0.04999997222918035,0.09644364074743822,0.08438818565400844,0.10789632308619651,,0.7815137808753642,0.7412984339987506,0.03435804701627487
pronóstico (solo T-1),36,10804365,1659,0.0001535490517027146,0.001401122279582532,9.124916526969091,0.8517999637000064,0.39541892706449666,0.37613019891500904,0.4159132007233273,0.05856417864561081,0.04999997222918035,0.08740204942736589,0.07655213984327909,0.09825195901145269,,0.7942073008782067,0.7343949475491338,0.0012055455093429868
