banda,celdas,igniciones,n_rows,n_positives,prevalence,pr_auc,lift_vs_azar,roc_auc,recall_at_fpr5,recall_ci90_low,recall_ci90_high,threshold_at_fpr,fpr_achieved,recall_at_top1%_daily,recall_at_top1%_daily_ci90_low,recall_at_top1%_daily_ci90_high,brier_score,roc_auc_temporada,roc_auc_dentro_del_dia
0,5961,646,2175765,646,0.00029690706487143603,0.0012494676265296673,4.208278530087185,0.8204735453661247,0.26006191950464397,0.23374613003095976,0.28792569659442724,0.08550070226192474,0.04999956324228697,0.021671826625386997,0.01393188854489164,0.030959752321981424,,0.7497677738771391,0.5919832765173154
1,5943,442,2169195,442,0.0002037622251572588,0.0009523066649961481,4.673617321665881,0.8370251845602048,0.2895927601809955,0.25554298642533935,0.3257918552036199,0.06800080835819244,0.04999970028859903,0.033936651583710405,0.020361990950226245,0.049773755656108594,,0.7566620475311827,0.670530449556649
2,5877,253,2145105,253,0.00011794294451786742,0.000689835482658332,5.8488914744181875,0.8294930135094906,0.2490118577075099,0.20553359683794467,0.2964426877470356,0.04626508802175522,0.0499997202604189,0.03162055335968379,0.015810276679841896,0.05138339920948617,,0.7462120022358872,0.6557141134176906
3,5901,166,2153865,166,7.70707542023293e-05,0.00036146057684725163,4.689983646693408,0.8421952241460822,0.2710843373493976,0.21686746987951808,0.3253012048192771,0.049545545130968094,0.04999955889843474,0.012048192771084338,0.0,0.024096385542168676,,0.7833893522335438,0.6360556764596117
4,5919,152,2160435,152,7.035620141314133e-05,0.0003278001181106333,4.659150316910171,0.8320420089575495,0.29605263157894735,0.23684210526315788,0.3618421052631579,0.0322728306055069,0.04999993056465287,0.0,0.0,0.0,,0.7710701559023292,0.5869291032194046
