ratio,estrategia,filas_entreno,negativos,n_estratos,roc_auc,recall,recall_ci_bajo,recall_ci_alto,incendios,top1_diario,brier,segundos
10,uniforme,3247858,3243858,1,0.8690721213416706,0.38517179023508136,0.36528028933092227,0.40629897528631703,639,0.08016877637130802,0.00015369982174999095,49.0
10,estratificado,3247858,3243858,84,0.8690721213416706,0.38517179023508136,0.36528028933092227,0.40629897528631703,639,0.08016877637130802,0.0001536998217655934,72.0
10,clusters_proporcional,3247847,3243847,60,0.8704828399207998,0.3899939722724533,0.37130801687763715,0.4098854731766124,647,0.081374321880651,0.00015368661091127777,54.1
10,clusters_equilibrado,3247858,3243858,60,0.8654251906827533,0.3628691983122363,0.3435804701627486,0.38155515370705245,602,0.0759493670886076,0.00015341528286843975,51.4
25,uniforme,1301543,1297543,1,0.8698189936264364,0.38396624472573837,0.3640747438215793,0.4038577456298975,637,0.08257986738999397,0.00015340392605087905,20.4
25,estratificado,1301543,1297543,84,0.8698189936264364,0.38396624472573837,0.3640747438215793,0.4038577456298975,637,0.08257986738999397,0.00015340392605087908,42.6
25,clusters_proporcional,1301547,1297547,60,0.8699903787540585,0.39119951778179624,0.3719107896323086,0.41229656419529837,649,0.08257986738999397,0.0001533991094243465,21.5
25,clusters_equilibrado,1301543,1297543,60,0.8620331415495259,0.35322483423749246,0.33393610608800484,0.37130801687763715,586,0.07896323086196504,0.00015342580793970733,21.7
100,uniforme,328386,324386,1,0.8695302579538857,0.39662447257383965,0.37790837854128995,0.4165159734779988,658,0.07474382157926461,0.00015339251247018388,5.1
100,estratificado,328386,324386,84,0.8695302579538857,0.39662447257383965,0.37790837854128995,0.4165159734779988,658,0.07474382157926461,0.00015339251247028758,27.2
100,clusters_proporcional,328388,324388,60,0.8699854018515614,0.3857745629897529,0.3670886075949367,0.40569620253164557,640,0.07655213984327909,0.0001534051320546099,6.2
100,clusters_equilibrado,328386,324386,60,0.8617755328255622,0.3640747438215793,0.3453887884267631,0.38396624472573837,604,0.07715491259795057,0.00015341813184059319,6.3
200,uniforme,166193,162193,1,0.8705551568760618,0.3893911995177818,0.36949969861362264,0.40867992766726946,646,0.08318264014466546,0.00015340072226519485,3.1
200,estratificado,166193,162193,84,0.8705551568760618,0.3893911995177818,0.36949969861362264,0.40867992766726946,646,0.08318264014466546,0.00015340072226563179,25.1
200,clusters_proporcional,166197,162197,60,0.870143317071488,0.39722724532851117,0.3767329716696805,0.41832429174201324,659,0.08197709463532249,0.00015340590225917106,4.0
200,clusters_equilibrado,166193,162193,60,0.861792207871969,0.36467751657625075,0.3459915611814346,0.38517179023508136,605,0.0753465943339361,0.000153428141783425,4.3
