modelo,variante,segundos,train_roc_auc,gap_sobreajuste,best_iteration,val_n_rows,val_n_positives,val_prevalence,val_pr_auc,val_lift_vs_azar,val_roc_auc,val_recall_at_fpr5,val_recall_ci90_low,val_recall_ci90_high,val_threshold_at_fpr,val_fpr_achieved,val_recall_at_top1%_daily,val_brier_score,protocolo,train_years,val_year,test_year,hard_fraction,neg_ratio
lightgbm,nowcast,39.7,0.9861551867017065,0.08639057563420127,155,11204405,703,6.27431800260701e-05,0.0003211988629508513,5.119263365634186,0.8997646110675053,0.22475106685633,0.19914651493598862,0.25177809388335703,0.9346796274185181,0.04999999107437881,0.021337126600284494,6.272155074365265e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
xgboost,nowcast,45.4,0.9838816602218481,0.08857324850590387,432,11204405,703,6.27431800260701e-05,0.00030479420523148995,4.85780614091996,0.8953084117159442,0.20483641536273114,0.1806543385490754,0.23044096728307253,0.946084201335907,0.04999999107437881,0.01991465149359886,6.272268488059206e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
logistic_regression,nowcast,44.0,0.937031274192306,-0.005545293746943902,,11204405,703,6.27431800260701e-05,0.002151284440212565,34.28714386677079,0.9425765679392499,0.7240398293029872,0.6970128022759602,0.7524893314366998,0.9604657888412476,0.04999999107437881,0.3129445234708393,6.264295622959529e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
lightgbm,t1,37.5,0.9785175007280682,0.07756296659892747,117,11204405,703,6.27431800260701e-05,0.00034028465500897316,5.4234524751149555,0.9009545341291407,0.2716927453769559,0.24466571834992887,0.29871977240398295,0.9173471927642822,0.049999812561954966,0.02418207681365576,6.272158735719807e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
xgboost,t1,37.2,0.9716913814783961,0.06982201764617058,274,11204405,703,6.27431800260701e-05,0.000333894682896789,5.32160918139715,0.9018693638322255,0.26600284495021337,0.23897581792318634,0.2930298719772404,0.9278072714805603,0.04999999107437881,0.034139402560455195,6.272138308309931e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
logistic_regression,t1,41.6,0.9308391070835957,-0.01452920579660133,,11204405,703,6.27431800260701e-05,0.004066062354485126,64.8048497509316,0.9453683128801971,0.7894736842105263,0.7652916073968705,0.8165007112375533,0.9617819786071777,0.04999999107437881,0.041251778093883355,6.256826762914201e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
