configuracion,recall_medio,recall_desv,recall_minimo,segundos,pliegue_1,pliegue_2,pliegue_3,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,scale_pos_weight,subsample
34,0.3988966078345892,0.01961041171058049,0.3801295896328294,45.6,0.4259634888438134,0.3801295896328294,0.39059674502712477,0.664076333737366,0.01470002269108465,8,4.563940943974108,513,3.8125351372349985,3.1659402992749106,1.2479533352811025,0.7213062058692892
10,0.3951561755989283,0.010643134524747045,0.38120950323974084,76.9,0.4070317782285328,0.38120950323974084,0.39722724532851117,0.5317791751430119,0.021657398587036882,7,47.735964446695256,925,4.588156549160973,8.79892974968902,1.9781054912383746,0.885297914889198
37,0.3948850556271473,0.014347431079424062,0.3758099352051836,126.9,0.41041244083840434,0.3758099352051836,0.39843279083785416,0.5392281906711329,0.010650206949921897,7,1.5349390041079722,1350,1.2243980190472088,6.575153390127358,2.6870208945807006,0.6625748170684344
33,0.39420066242919205,0.007658929369204442,0.3833693304535637,60.0,0.3995943204868154,0.3833693304535637,0.3996383363471971,0.5354704584999639,0.026804126881195513,8,111.66806426365197,670,0.0121018095945955,14.379036661621068,12.194207189711609,0.8688104541180797
30,0.3914480541419871,0.018359562434086853,0.37041036717062636,50.2,0.4151453684922245,0.37041036717062636,0.3887884267631103,0.9255683357584285,0.021979422858837524,4,19.108051650354913,765,1.2248682856804867,13.807731717915695,1.7406760671787802,0.8460028906796679
32,0.39131346044700804,0.019063686589768855,0.3693304535637149,46.8,0.4158215010141988,0.3693304535637149,0.3887884267631103,0.6482550718238993,0.028380472897019313,4,98.89160225883612,724,0.017570436113703524,1.024164517634667,35.92283479197912,0.6777095814048169
38,0.39096245103725175,0.01785702806499797,0.37257019438444927,64.9,0.4151453684922245,0.37257019438444927,0.38517179023508136,0.6251214490822976,0.03914849909318799,3,33.04714658999453,1096,7.321428778380784,29.9084449734043,23.6157752015729,0.8446882984937409
15,0.3909575559848642,0.010747442917814893,0.37688984881209503,84.4,0.40297498309668695,0.37688984881209503,0.39300783604581074,0.6762844281670846,0.021326236347252694,8,14.970794998958096,848,0.2847671665944547,24.258953709486804,4.64907998797804,0.6976502088991097
36,0.38856512047647745,0.017378084274786116,0.367170626349892,103.8,0.40973630831643004,0.367170626349892,0.3887884267631103,0.8497561053835969,0.014102888186946768,7,170.1897550172771,1329,0.0930827957371382,38.9378878159457,4.686885307606119,0.7755885682822544
2,0.3880014641285663,0.01050362146927535,0.3758099352051836,52.2,0.3867478025693036,0.3758099352051836,0.4014466546112116,0.6521211214797689,0.03683895479362275,6,1.1299710886276169,674,0.6847920095574779,1.9010245319870354,5.292705365436973,0.7465447373174767
39,0.38776072235368225,0.02610150587411606,0.35529157667386607,67.2,0.4192021636240703,0.35529157667386607,0.3887884267631103,0.709800031213895,0.018507452266052736,5,55.440435392132244,896,0.10608134076349772,1.526153199965841,1.7109537773477945,0.7245653237565177
6,0.3846270244233618,0.020220470302234617,0.36825053995680346,30.3,0.41311697092630156,0.36825053995680346,0.37251356238698013,0.9211423872974993,0.03057498312874962,4,114.557776139406,469,1.519903403705408,4.498643077694103,25.885639202579256,0.8083337040103294
35,0.38413562357315795,0.025261156786632512,0.36069114470842334,19.5,0.4192021636240703,0.36069114470842334,0.37251356238698013,0.7685412135983277,0.02251727823116085,7,4.215299086766157,204,0.23539405203496117,48.311013670034406,3.030420628952775,0.7645415620226714
