modelo,pr_auc,roc_auc,recall_at_fpr5,brier_score
LightGBM Avanzado,4.685571927184748e-05,0.8264204640229496,0.3333333333333333,0.0017174909720983637
XGBoost Avanzado,4.25706625924201e-05,0.8327282821783805,0.23529411764705882,0.0013583935797214508
CatBoost Classifier,4.045886668677649e-05,0.8155317806445067,0.20588235294117646,0.0027863295423504863
Ensamble Blending (SOTA Tabular),4.1324735911341786e-05,0.8299310572298629,0.2549019607843137,0.3304597111593773
