modelo,variante,segundos,train_roc_auc,gap_sobreajuste,best_iteration,val_n_rows,val_n_positives,val_prevalence,val_pr_auc,val_lift_vs_azar,val_roc_auc,val_recall_at_fpr5,val_recall_ci90_low,val_recall_ci90_high,val_threshold_at_fpr,val_fpr_achieved,val_recall_at_top1%_daily,val_brier_score,protocolo,train_years,val_year,test_year,hard_fraction,neg_ratio
lightgbm,nowcast,50.2,0.9803563356682335,0.04542805431812469,105,11204405,703,6.27431800260701e-05,0.0010537179683698628,16.794143489890658,0.9349282813501089,0.6671408250355618,0.6401137980085349,0.6984352773826458,0.8575540125370025,0.05000008033059073,0.09103840682788052,6.267399307885223e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
xgboost,nowcast,51.3,0.9795642142851477,0.04928787128630496,328,11204405,703,6.27431800260701e-05,0.0007277713671367022,11.599210732294882,0.9302763429988428,0.6827880512091038,0.6543385490753911,0.7126600284495022,0.9360366255044934,0.05000008033059073,0.059743954480796585,6.270056156318867e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
logistic_regression,nowcast,54.4,0.9444527145904634,0.006313530399710943,,11204405,703,6.27431800260701e-05,0.0017276798271650053,27.535738967121937,0.9381391841907525,0.705547652916074,0.6770981507823614,0.7354196301564723,0.9895698428153992,0.04999999107437881,0.032716927453769556,6.266252289835144e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
lightgbm,t1,68.7,0.984955288710089,0.051729434321423184,210,11204405,703,6.27431800260701e-05,0.0007843752845358655,12.501363243143775,0.9332258543886658,0.7823613086770982,0.7567567567567568,0.8079658605974396,0.9442347824573516,0.05000008033059073,0.00995732574679943,6.268955525567492e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
xgboost,t1,57.8,0.9639672832106342,0.03510298021349645,184,11204405,703,6.27431800260701e-05,0.0007061883651681726,11.255221123232003,0.9288643029971377,0.6998577524893315,0.6713371266002846,0.7297297297297297,0.9386762291193007,0.05000008033059073,0.02844950213371266,6.269973894338642e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
logistic_regression,t1,60.9,0.9343613769406685,-0.007337412082316641,,11204405,703,6.27431800260701e-05,0.0021533587681023918,34.320204478122726,0.9416987890229851,0.7581792318634424,0.7311522048364154,0.7852062588904695,0.9929354786872864,0.04999990181816689,0.06116642958748222,6.264819146141523e-05,fixed,"[2019, 2020, 2021]",[2022],,0.0,50
